#{"t_start": 1770947558.8083858, "env_id": "LunarLander-v3"}
r,l,t
-139.153423,99,0.025903
-94.240603,64,0.035259
-100.28406,101,0.050667
-303.886121,66,0.059999
-62.225048,69,0.070216
-271.899286,82,0.082456
-140.36869,84,0.096159
-284.955487,119,0.113316
-265.812776,69,0.124338
-110.020794,72,0.129416
-481.839688,97,0.147622
-98.514929,99,0.159568
-139.33959,122,0.261188
-185.91447,83,0.353565
-82.21848,81,0.439461
-230.462451,76,0.503097
33.033458,85,0.559825
-118.732652,106,0.659929
-76.343025,66,0.71022
-149.649331,102,0.825613
-74.096618,62,0.902842
-460.025423,108,1.029611
-208.561637,70,1.126526
-218.772486,96,1.325423
-164.889843,71,1.397997
-72.575313,138,1.514982
-75.966761,71,1.564969
-73.149543,73,1.631418
-91.249652,94,1.70981
-475.447403,105,1.78131
-187.962698,120,1.880864
-425.545522,83,1.932622
-109.397239,90,2.013907
-136.533998,131,2.111269
-102.384786,94,2.178902
-104.495318,72,2.225415
-121.06489,111,2.312073
-100.558344,67,2.352108
-195.469526,129,2.451676
-77.057029,82,2.514418
-111.06893,125,2.602
-120.349101,106,2.680673
-91.460775,92,2.748114
-322.937837,97,2.814013
-104.787756,148,2.933488
-56.316348,94,3.001791
-169.685365,73,3.055294
-136.563875,108,3.133388
-136.287264,125,3.20562
-165.382814,119,3.313421
-251.539619,89,3.392727
-86.116747,119,3.477432
-144.714936,121,3.577532
-53.312372,149,3.695732
-97.219167,83,3.758981
-110.626128,117,3.840413
-148.152077,96,3.910732
-73.179712,83,3.977233
15.905376,147,4.095954
-97.429521,102,4.173562
-99.358523,87,4.239401
-82.048769,156,4.394902
-47.374362,116,4.478321
-66.631439,128,4.567091
-91.170344,109,4.641269
-90.159732,118,4.719423
-93.695793,91,4.781003
-161.423377,69,4.828938
-82.222575,86,4.890627
-102.542807,81,4.938831
-71.612355,98,5.00981
-40.888377,89,5.056138
-131.648321,92,5.130321
-190.898414,130,5.213803
-78.680763,77,5.256027
-72.475965,93,5.30413
-113.389404,117,5.39596
-80.943701,135,5.47962
-69.096502,75,5.528347
29.391067,158,5.619462
-105.439695,78,5.67567
-50.254892,147,5.764409
-112.773877,122,5.836545
-69.172644,124,5.923531
-53.321289,70,5.973659
-24.655484,184,6.116121
-44.724945,131,6.216591
-79.882673,133,6.305756
-46.320712,79,6.361902
-27.404609,134,6.460644
-54.403207,132,6.552045
-1.994736,141,6.660821
-25.049152,145,6.756219
-57.634434,80,6.806271
-194.59978,107,6.886842
-63.486186,132,6.972822
-64.863169,180,7.150058
12.745866,129,7.248908
-86.048563,108,7.352175
-52.395286,214,7.506576
-77.074281,142,7.628677
-84.59903,215,7.869778
-26.039114,120,8.000087
-52.356171,144,8.178849
-48.287285,322,8.527139
-20.139625,164,8.706373
-71.913465,139,8.838823
48.991016,1000,10.053176
-42.406513,101,10.223294
-36.645928,100,10.398172
-56.711066,252,10.680279
-22.82063,123,10.783788
-307.033723,529,11.307998
-54.77312,260,11.654362
-62.879716,103,11.773254
-54.351869,121,11.898476
-86.190653,157,12.057126
-57.286706,85,12.120701
-36.762596,121,12.237298
-64.181142,101,12.323917
-145.847333,195,12.481899
-28.297184,174,12.623189
-18.094741,155,12.757599
-92.774633,234,12.956814
-65.326313,1000,13.873772
-85.181469,820,14.649033
2.789611,165,14.773136
0.940487,115,14.876251
-211.371445,993,15.774257
-25.404801,93,15.848159
-9.03766,174,15.99448
-41.647448,108,16.086087
