#{"t_start": 1770947331.1740882, "env_id": "LunarLander-v3"}
r,l,t
-139.153423,99,0.028107
-94.240603,64,0.041642
-100.28406,101,0.058459
-303.886121,66,0.069069
-62.225048,69,0.080418
-271.899286,82,0.093926
-140.36869,84,0.109436
-284.955487,119,0.125956
-265.812776,69,0.136146
-110.020794,72,0.147152
-481.839688,97,0.161151
-98.514929,99,0.192168
-110.91935,120,0.281193
-321.207108,112,0.361747
-118.242187,89,0.431287
-69.82557,68,0.483545
-184.229882,127,0.573758
-117.051322,77,0.638498
-251.179943,65,0.686118
-135.23479,89,0.752177
-275.761845,78,0.809178
-118.961278,105,0.895267
-98.687264,137,1.018597
-3.331996,116,1.120665
-85.990466,101,1.219449
-112.092379,67,1.285959
-143.44768,76,1.352459
-188.191609,108,1.456191
-199.255691,121,1.584067
-187.077759,75,1.670569
-158.503121,113,1.81577
-194.762995,66,1.88257
-348.989679,138,2.019407
-87.062661,138,2.157625
-75.99399,115,2.264506
-128.496568,75,2.325481
-164.250753,94,2.405296
-89.209713,78,2.476716
-131.113225,111,2.571027
-127.427499,78,2.639786
-88.159444,87,2.700883
-66.697886,127,2.786003
-105.168523,98,2.85367
13.373429,92,2.93134
-101.868867,122,3.040219
-194.616519,124,3.148059
-116.359104,95,3.215725
-237.369921,131,3.303863
-59.22433,68,3.349549
-171.499614,90,3.406004
-255.62031,111,3.485093
-204.166868,105,3.557461
-73.470549,126,3.652065
11.68381,133,3.765912
-83.771524,94,3.836635
-68.121799,82,3.913867
-28.041117,83,4.019522
-28.531755,131,4.14941
-118.080066,96,4.237519
-49.126984,96,4.319376
-58.590011,132,4.426017
-62.139858,102,4.516439
-128.25756,84,4.583967
-109.758632,62,4.629084
-22.962004,145,4.748222
-51.819477,137,4.869743
-98.84995,70,4.933452
-106.722303,121,5.033435
-127.84138,101,5.12259
13.256652,106,5.220512
-60.343602,90,5.292775
-176.87572,86,5.362542
-97.822789,74,5.417509
-82.169805,94,5.489687
-132.05836,157,5.626676
-69.076782,89,5.699553
-108.753857,82,5.767615
-44.259866,100,5.892055
-60.263149,157,6.05347
-80.907567,125,6.182242
-78.583117,77,6.252927
-59.878109,82,6.327607
-89.686819,86,6.399821
-93.971933,106,6.491982
-112.470752,216,6.720786
-104.543544,148,6.864904
-117.612646,115,6.981291
-36.5864,84,7.067695
-71.773495,146,7.237246
-101.442968,128,7.404672
-78.011829,139,7.583705
-69.384878,75,7.663178
-63.287394,117,7.781651
-84.50337,91,7.865205
-111.650563,121,7.974791
-40.296012,147,8.108051
-35.895877,129,8.228382
13.610619,103,8.330555
-72.376991,93,8.407968
-52.824788,84,8.508044
-82.775102,111,8.644333
-7.869433,90,8.776727
-100.85108,83,8.903414
-36.214063,148,9.093851
-35.094277,111,9.21915
-59.699233,83,9.31872
-23.904386,245,9.599195
