#{"t_start": 1771124456.7725449, "env_id": "LunarLander-v3"}
r,l,t
-139.153529,99,0.763394
-94.240603,64,0.767059
-100.283327,101,0.772972
-303.886285,66,0.776512
-62.22517,69,0.780807
-271.8973,82,0.785317
-140.366512,84,0.81638
-284.955442,119,0.82245
-265.812241,69,0.826808
-110.020783,72,0.830601
-481.839492,97,0.83546
-98.514936,99,1.053027
-87.103289,124,1.126395
-287.048947,113,1.180506
-194.021868,101,1.229886
-181.577197,116,1.285732
-87.739714,81,1.326382
-41.690526,84,1.366246
-236.571949,126,1.426011
-505.357097,102,1.479814
-107.576342,103,1.534397
-235.053442,114,1.588793
-136.731405,75,1.624815
-377.332468,103,1.682585
-218.243251,104,1.738381
-227.887452,104,1.790323
-210.6563,93,1.834609
-231.233837,107,1.884985
-144.423756,119,1.943756
-84.544231,79,1.986112
-59.929666,118,2.043152
-109.695973,121,2.104125
-79.165964,156,2.193684
-174.975517,81,2.23926
-96.365445,114,2.301613
-189.167136,123,2.371959
-70.458352,63,2.409167
-94.545752,108,2.463707
-70.685198,75,2.502587
-140.568184,74,2.543588
-124.849103,116,2.605622
-94.794583,69,2.639965
-90.940138,72,2.678632
-110.034356,117,2.742337
-136.555483,67,2.778342
-38.109662,111,2.838768
-101.090103,109,2.894118
-155.658367,64,2.927514
-229.240411,99,2.979043
-63.488966,114,3.035708
-235.774968,98,3.08658
-176.641902,109,3.14051
-126.977042,145,3.223909
-121.896128,81,3.274976
-127.268331,84,3.320837
-145.210622,88,3.372676
-101.62588,143,3.445997
-127.704184,86,3.492775
-97.989534,108,3.547576
-239.928509,98,3.597032
-95.942542,71,3.635021
-70.743009,64,3.669095
-63.628367,84,3.712132
-154.079632,92,3.762771
-101.677523,133,3.840219
-109.684943,83,3.883942
-185.765359,98,3.935474
-91.458062,126,4.00293
-88.781027,80,4.049163
-45.390861,108,4.10486
-79.18284,93,4.154874
-115.10658,107,4.215764
-89.227506,67,4.251815
-90.014762,143,4.327964
-95.490401,106,4.385836
-66.576311,107,4.449069
-115.742065,120,4.51468
-77.895624,104,4.57285
-67.370051,116,4.643604
-117.437772,79,4.690388
-54.190905,79,4.734263
-93.037317,68,4.769075
-61.674424,176,4.864855
-82.380614,80,4.912185
