#{"t_start": 1770947210.4763913, "env_id": "LunarLander-v3"}
r,l,t
-139.153423,99,0.016778
-94.240603,64,0.027153
-100.28406,101,0.038222
-303.886121,66,0.044242
-62.225048,69,0.051899
-271.899286,82,0.0599
-140.36869,84,0.067128
-284.955487,119,0.080137
-265.812776,69,0.080137
-110.020794,72,0.080137
-481.839688,97,0.099641
-98.514929,99,0.129874
-87.103497,124,0.196005
-287.048283,113,0.274768
-194.021773,101,0.334637
-181.576917,116,0.401716
-87.739686,81,0.448313
-41.691827,84,0.494632
-236.571979,126,0.571925
-505.357629,102,0.640684
-107.576205,103,0.708129
-235.053419,114,0.783111
-136.731339,75,0.823581
-377.333246,103,0.879023
-218.243227,104,0.929118
-227.887524,104,0.995552
-210.657767,93,1.047986
-231.234756,107,1.112085
-144.423821,119,1.178801
-84.544186,79,1.228892
-59.929525,118,1.295533
-109.69597,121,1.375251
-79.165977,156,1.468704
-174.97543,81,1.521092
-96.365247,114,1.578643
-189.168022,123,1.645879
-70.458537,63,1.695808
-94.545677,108,1.78202
-70.685327,75,1.841788
-140.567997,74,1.897139
-124.849184,116,1.986264
-94.794357,69,2.03354
-90.940138,72,2.095377
-110.034374,117,2.190856
-136.555073,67,2.242821
-38.109886,111,2.337474
-101.092748,109,2.410023
-155.658291,64,2.445443
-229.240443,99,2.513308
-63.488949,114,2.57403
-235.7752,98,2.637426
-176.641623,109,2.700908
-126.976931,145,2.796434
-121.896367,81,2.842412
-127.268275,84,2.891893
-145.212985,88,2.951619
-101.62756,143,3.061848
-127.70419,86,3.225287
-97.989934,108,3.357141
-239.928879,98,3.448445
-95.942834,71,3.510206
-70.743003,64,3.575685
-63.6285,84,3.644596
-154.078894,92,3.740458
-101.67683,133,3.874945
-101.474441,84,3.938639
-126.772815,92,4.01844
-71.022803,141,4.12465
-106.897017,112,4.221591
-206.76943,104,4.288632
-58.671411,98,4.372995
-132.112985,113,4.47312
-126.547727,121,4.583344
-96.037239,132,4.708116
-6.020174,96,4.795471
-90.237942,131,4.956324
-114.543146,93,5.063276
-77.871565,187,5.260121
