#{"t_start": 1770947443.696297, "env_id": "LunarLander-v3"}
r,l,t
-139.153423,99,0.0277
-94.240603,64,0.035701
-100.28406,101,0.051296
-303.886121,66,0.061632
-62.225048,69,0.075335
-271.899286,82,0.086334
-140.36869,84,0.099333
-284.955487,119,0.113845
-265.812776,69,0.125362
-110.020794,72,0.134881
-481.839688,97,0.145022
-98.514929,99,0.174569
-87.103497,124,0.281501
-287.048283,113,0.387524
-194.021773,101,0.489375
-181.576917,116,0.600771
-87.739686,81,0.674426
-41.691827,84,0.748006
-236.571979,126,0.853796
-505.357629,102,0.947385
-107.576205,103,1.045402
-235.053419,114,1.155713
-136.731339,75,1.231556
-377.333246,103,1.322783
-218.243227,104,1.427049
-227.887524,104,1.530096
-210.657767,93,1.605519
-231.234756,107,1.705698
-144.423821,119,1.814323
-84.544186,79,1.884804
-59.929525,118,1.988676
-109.69597,121,2.102863
-79.165977,156,2.247004
-174.97543,81,2.313648
-96.365247,114,2.417151
-189.168022,123,2.540755
-70.458537,63,2.59276
-94.545677,108,2.695438
-70.685327,75,2.769269
-140.567997,74,2.834628
-124.849184,116,2.9549
-94.794357,69,3.021466
-90.940138,72,3.087096
-110.034374,117,3.187193
-136.555073,67,3.257982
-38.109886,111,3.36403
-101.092748,109,3.454778
-155.658291,64,3.5137
-229.240443,99,3.602876
-63.488949,114,3.706974
-235.7752,98,3.811414
-176.641623,109,3.912965
-126.976931,145,4.048881
-121.896367,81,4.133533
-127.268275,84,4.207865
-145.212985,88,4.288671
-101.62756,143,4.418601
-127.70419,86,4.498202
-97.989934,108,4.600633
-239.928879,98,4.687539
-95.942834,71,4.767058
-70.743003,64,4.83812
-63.6285,84,4.909061
-154.078894,92,5.011572
-101.67683,133,5.120667
-101.474441,84,5.196287
-126.772815,92,5.275372
-71.022803,141,5.406632
-106.897017,112,5.504312
-206.76943,104,5.611196
-58.671411,98,5.693219
-132.112985,113,5.806818
-126.547727,121,5.91173
-96.037239,132,6.02023
-6.020174,96,6.117104
-90.237942,131,6.249654
-114.543146,93,6.345188
-77.871565,187,6.519967
-107.970503,104,6.633061
-176.550237,104,6.734474
-25.163391,68,6.798117
-174.916787,125,6.925921
-16.604841,81,7.002096
-33.002674,91,7.093174
-41.453331,153,7.262458
-114.851768,118,7.365916
-93.869534,85,7.436358
-98.869954,97,7.529774
-38.877244,111,7.633401
-60.912499,152,7.783821
-22.215076,100,7.878061
-74.827065,64,7.950182
-70.489248,112,8.035993
-43.009196,104,8.157469
-68.804954,142,8.294955
-78.24982,114,8.406209
-12.163358,181,8.581419
-34.446011,84,8.667863
-53.933083,98,8.769029
-65.851365,83,8.835529
-32.502516,117,8.964056
-61.275699,156,9.111482
-15.811784,172,9.301341
4.473134,150,9.460475
-38.252522,77,9.534816
4.164384,152,9.687852
-24.38888,113,9.796537
-67.511893,221,10.018384
-7.23696,220,10.247622
-97.390369,133,10.387089
-86.439534,137,10.523094
-61.799584,143,10.670714
-21.072031,100,10.768296
-19.396294,166,10.945368
-27.593064,104,11.041287
-54.287006,157,11.212091
13.646517,120,11.345652
-87.575197,147,11.498188
-73.974415,207,11.710048
-0.528187,89,11.800907
-21.48718,202,11.98428
-104.05527,106,12.094955
-17.218856,132,12.217486
-12.708075,154,12.384134
-42.710739,239,12.632907
-85.188123,169,12.813567
-61.41456,142,12.965809
-72.696578,221,13.199398
-35.161552,311,13.52376
10.78032,388,13.916672
-15.660439,163,14.107936
13.770696,192,14.299954
2.314393,1000,15.449994
24.310408,377,16.115827
-37.756509,284,16.484918
-71.084728,128,16.657494
-33.873342,187,16.862201
-23.285447,129,17.076812
-277.68319,332,17.472464
-79.118605,639,18.161306
-79.807669,155,18.309203
-10.739726,171,18.46268
-102.764398,1000,19.529608
-114.593642,279,19.867007
-156.506179,567,20.486445
-22.771888,1000,21.708559
-64.681253,1000,22.793739
-56.393681,1000,24.297757
-43.191674,1000,25.589679
-17.071429,1000,26.858999
-24.093112,1000,28.068023
-14.526043,1000,29.284632
-48.337103,1000,30.5581
-14.578526,1000,32.018809
-25.892398,1000,33.383098
1.327608,1000,34.666883
13.669179,1000,35.868175
-9.831098,1000,37.144018
2.540786,1000,38.300328
-51.512014,1000,39.441587
6.173815,1000,40.538025
-44.092396,1000,41.48418
-12.34931,1000,42.412296
-33.73785,1000,43.296888
-2.45492,1000,44.195652
-26.011566,1000,45.116904
3.29296,1000,46.040401
-20.154343,1000,46.97661
-20.865496,1000,48.001594
-48.322196,1000,49.045019
-71.139381,1000,50.272696
