#{"t_start": 1770947654.3777845, "env_id": "LunarLander-v3"}
r,l,t
-139.153423,99,122.364025
-94.240603,64,122.367026
-100.28406,101,122.377808
-303.886121,66,122.377808
-62.225048,69,122.394426
-271.899286,82,122.394426
-140.36869,84,122.425651
-284.955487,119,122.437238
-265.812776,69,122.44533
-110.020794,72,122.452916
-481.839688,97,122.464573
-98.514929,99,122.484502
-87.103497,124,122.584904
-287.048283,113,122.654006
-194.021773,101,122.708531
-181.576917,116,122.778856
-87.739686,81,122.83461
-41.691827,84,122.875587
-236.571979,126,122.970905
-505.357629,102,123.039371
-107.576205,103,123.106764
-235.053419,114,123.172529
-136.731339,75,123.210764
-377.333246,103,123.258737
-218.243227,104,123.346293
-227.887524,104,123.427155
-210.657767,93,123.505133
-231.234756,107,123.580344
-144.423821,119,123.659519
-84.544186,79,123.708663
-59.929525,118,123.786745
-109.69597,121,123.85269
-79.165977,156,123.952976
-174.97543,81,123.995888
-96.365247,114,124.059355
-189.168022,123,124.153506
-70.458537,63,124.214623
-94.545677,108,124.378838
-70.685327,75,124.434703
-140.567997,74,124.482587
-124.849184,116,124.566006
-94.794357,69,124.614012
-90.940138,72,124.659385
-110.034374,117,124.732757
-136.555073,67,124.775953
-38.109886,111,124.845885
-101.092748,109,124.911923
-155.658291,64,124.951567
-229.240443,99,125.023483
-63.488949,114,125.102103
-235.7752,98,125.162059
-176.641623,109,125.219793
-126.976931,145,125.321633
-121.896367,81,125.37098
-127.268275,84,125.420588
-145.212985,88,125.48186
-101.62756,143,125.597604
-127.70419,86,125.664255
-97.989934,108,125.736727
-239.928879,98,125.80197
-95.942834,71,125.851074
-70.743003,64,125.885249
-63.6285,84,125.927754
-154.078894,92,125.995921
-101.67683,133,126.082076
-101.474441,84,126.132143
-126.772815,92,126.197639
-71.022803,141,126.302286
-106.897017,112,126.39379
-206.76943,104,126.458406
-58.671411,98,126.532892
-132.112985,113,126.591374
-126.547727,121,126.674804
-96.037239,132,126.760132
-6.020174,96,126.835593
-90.237942,131,126.920106
-114.543146,93,126.989622
-77.871565,187,127.107329
-107.970503,104,127.174719
-176.550237,104,127.240576
-25.163391,68,127.286933
-174.916787,125,127.357846
-16.604841,81,127.407281
-33.002674,91,127.477566
-41.453331,153,127.577593
-114.851768,118,127.641435
-93.869534,85,127.711686
-98.869954,97,127.783095
-38.877244,111,127.886698
-60.912499,152,128.016732
-22.215076,100,128.096536
-74.827065,64,128.139213
-70.489248,112,128.219863
-43.009196,104,128.294621
-68.804954,142,128.394374
-78.24982,114,128.462978
-12.163358,181,128.596345
-282.297886,394,128.76306
-30.631513,1000,129.027807
-51.018904,1000,129.276211
-88.750684,1000,129.523943
-57.312214,1000,129.763418
-95.023422,116,129.846865
-27.627971,105,129.940208
-72.480091,124,130.029149
-75.701388,97,130.095926
-59.492514,165,130.212574
-50.587498,76,130.273198
-24.872607,114,130.345677
11.122176,239,130.529146
-20.638886,97,130.595252
2.200913,210,130.747509
-9.950028,182,130.872979
-50.516493,121,131.011685
-64.533194,97,131.094978
8.298947,198,131.245374
-85.18586,71,131.294971
-33.627787,81,131.357067
-95.738069,94,131.425444
-19.293188,174,131.539325
9.085294,174,131.662346
-57.251022,192,131.810145
-126.097473,246,132.002426
-48.176507,81,132.062326
-51.406903,85,132.130318
-31.105057,159,132.254506
24.374746,116,132.341191
31.396076,145,132.444583
-16.068843,89,132.529092
-36.04364,123,132.67995
-23.988353,122,132.787555
0.448074,220,133.014561
-45.851156,79,133.07494
-56.004642,250,133.297304
-25.229179,107,133.429698
1.428625,181,133.591503
-13.937911,144,133.72724
-23.586881,132,133.842273
-35.09401,191,134.023422
-22.05701,97,134.101936
-40.261562,205,134.255239
-78.188533,623,134.869647
-11.444958,1000,135.785731
-73.390481,1000,136.763868
-355.606735,745,137.506354
-56.255554,1000,138.636671
-156.908198,306,138.903198
-145.258459,387,139.036556
-181.635065,426,139.186613
-135.776155,343,139.286489
-92.461203,152,139.33655
-264.702333,761,140.119415
-97.748402,1000,141.333203
-113.245045,1000,142.536971
-35.023955,1000,143.758363
-2.262118,1000,144.870154
-8.968434,1000,145.93346
-15.280361,1000,147.058501
-41.652683,1000,148.03735
-57.681722,1000,149.166899
-25.541754,1000,150.087194
-28.658198,1000,150.634571
2.233259,1000,150.884875
0.774846,1000,151.182147
-17.432819,1000,151.47609
-43.851757,1000,151.726604
-19.51553,1000,152.676973
-26.673711,1000,153.674583
-50.014255,1000,154.622679
-25.911885,1000,155.649751
-72.516259,1000,156.604072
-12.092839,1000,157.545111
-33.975493,1000,158.421407
-40.015495,1000,159.427825
-19.325789,1000,160.313514
-24.355186,1000,161.271918
-23.136366,1000,161.57001
-18.98161,1000,161.813861
-38.208899,1000,162.060842
-12.734868,1000,162.321634
-4.08424,1000,162.563018
6.156982,1000,163.544409
-32.50047,1000,164.495504
-26.992756,1000,165.293507
-9.512176,1000,166.169942
-16.585882,1000,166.978541
-15.951,1000,168.08566
11.656114,1000,168.957511
-59.007118,1000,169.932727
-114.038861,1000,170.841361
-82.458161,1000,171.755801
-34.58298,1000,172.071382
-46.783953,1000,172.322967
-96.410155,1000,172.572871
-48.121166,1000,172.805227
-8.06553,1000,173.039011
-30.745079,1000,173.888342
-59.855557,1000,174.904429
-89.662154,202,175.107192
-41.162052,1000,176.039557
3.130037,1000,176.935855
-24.921565,1000,177.837077
-37.742367,1000,178.752719
-98.095346,179,178.918236
-52.473549,1000,179.786156
-4.287198,1000,180.718507
-18.829374,1000,181.618499
-88.315585,160,182.203047
-98.870481,166,182.265195
-127.882071,179,182.324381
-136.787184,202,182.390481
-21.532783,1000,182.661607
-43.484351,1000,183.551318
-94.128568,1000,184.590984
-44.890601,1000,185.61672
-65.10807,1000,186.91884
-132.990947,154,187.118793
7.459377,1000,188.28228
-15.648823,1000,189.50417
-57.395694,1000,190.563642
-110.025475,271,190.865598
-68.589056,1000,192.247747
-157.017649,149,192.45208
-37.693745,1000,193.633098
-67.782468,1000,194.583076
-120.838064,164,194.652164
-63.264266,1000,195.041706
-21.367209,1000,195.465255
-35.632126,1000,195.792652
-45.695815,1000,196.917769
-56.949336,1000,198.146755
-49.645816,1000,199.402528
-126.989361,793,200.367773
-137.589807,1000,201.553627
-41.205857,1000,202.908288
-84.344086,1000,204.07787
-96.328326,1000,205.530903
-60.179625,1000,206.748992
-7.930473,1000,208.178628
-101.263364,1000,209.076049
-92.905231,1000,209.479572
-231.529561,694,209.731734
-47.181702,1000,210.163655
-124.998266,1000,210.540406
-14.651663,1000,212.286032
-44.081967,1000,213.375709
-4.533407,1000,214.469421
-13.875654,1000,215.584999
-12.187178,1000,216.652076
-53.9729,1000,217.752764
-43.348366,1000,218.856085
-36.439691,1000,219.932528
-41.862918,1000,221.042518
-6.930091,1000,222.136487
16.02585,1000,222.497873
12.134046,1000,222.826093
-24.06301,1000,223.118955
34.094413,1000,223.381807
-8.589597,1000,223.647074
6.044747,1000,224.771334
-26.307627,1000,225.908163
11.760287,1000,226.980956
2.099345,1000,228.099544
-18.29908,1000,229.146489
-20.298311,1000,230.210351
9.606811,1000,231.279167
3.563055,1000,232.407756
-34.443031,1000,234.008631
-17.150911,1000,235.196188
-5.987284,1000,235.529218
-7.815467,1000,235.828743
-6.306981,1000,236.129557
-60.54498,1000,236.39307
-6.866194,1000,236.663821
